case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.0034595000000001933,-0.5,-1.986305192805404e-05,-12.0,0.05034630973346443,0.4495941009121209,12.0,-0.001169339472889785,-5.036617278539246e-06,5.036617278539249e-06,-4.99980136948072e-05,0.001124382585788203,4.99980136948072e-05,4.49613963964049e-05
1,0.003460500000000193,-0.5,-1.989565435883689e-05,-12.0,0.04912915423824998,0.450811158599717,12.0,-0.001169396738698075,-4.914904989260882e-06,4.914904989260882e-06,-4.999801043456412e-05,0.001124318154774297,4.999801043456412e-05,4.508310542540758e-05
1,0.003461500000000194,-0.5,-1.992749114765324e-05,-12.0,0.04791005920814809,0.452030158119134,12.0,-0.001169454086112399,-4.792998669929575e-06,4.792998669929575e-06,-4.999800725088524e-05,0.001124253611279279,4.999800725088524e-05,4.520500856102817e-05
1,0.0034625000000001937,-0.5,-1.995856103736982e-05,-12.0,0.04668907277094453,0.4532510513463577,12.0,-0.001169511512822762,-4.670903133198195e-06,4.67090313319819e-06,-4.999800414389626e-05,0.001124188957805194,4.999800414389626e-05,4.532710099073951e-05
1,0.003463500000000194,-0.5,-1.99888628016065e-05,-12.0,0.04546624312909246,0.4544737900826141,12.0,-0.001169569016517123,-4.548623199189403e-06,4.548623199189407e-06,-4.999800111371984e-05,0.001124124196859529,4.999800111371985e-05,4.544937789454158e-05
1,0.003464500000000194,-0.5,-2.001839524387594e-05,-12.0,0.04424161855781163,0.4556983260562728,12.0,-0.001169626594881481,-4.426163695305551e-06,4.426163695305551e-06,-4.999799816047561e-05,0.001124059330955076,4.999799816047562e-05,4.557183444515166e-05
1,0.003465500000000194,-0.5,-2.004715719827743e-05,-12.0,0.04301524740318463,0.456924610924749,12.0,-0.001169684245599999,-4.303529456038288e-06,4.303529456038291e-06,-4.999799528428017e-05,0.001123994362609893,4.999799528428018e-05,4.569446580819472e-05
1,0.0034665000000001943,-0.5,-2.007514752930262e-05,-12.0,0.04178717808024335,0.4581525962764172,12.0,-0.001169741966355081,-4.180725322777263e-06,4.180725322777265e-06,-4.999799248524707e-05,0.001123929294347174,4.999799248524707e-05,4.581726714239466e-05
1,0.003467500000000194,-0.5,-2.010236513177999e-05,-12.0,0.04055745907106326,0.4593822336325178,12.0,-0.00116979975482746,-4.057756143619511e-06,4.057756143619505e-06,-4.999798976348682e-05,0.001123864128695168,4.999798976348682e-05,4.594023359976496e-05
1,0.003468500000000194,-0.5,-2.012880893137448e-05,-12.0,0.03932613892284455,0.4606134744490732,12.0,-0.001169857608696361,-3.934626773177592e-06,3.934626773177592e-06,-4.999798711910686e-05,0.001123798868187073,4.999798711910686e-05,4.606336032580046e-05
1,0.003469500000000195,-0.5,-2.015447788386582e-05,-12.0,0.03809326624599829,0.4618462701188054,12.0,-0.001169915525639477,-3.811342072388219e-06,3.811342072388216e-06,-4.999798455221162e-05,0.001123733515360974,4.999798455221161e-05,4.618664245966893e-05
